"focal_rte","migclass","excl_dir","dir_core","dir_diff","n_spp","mig_plot"
11010,"short distance",0.310711209679685,0.3143404,0.00362919032031522,78,"Short Distance (78)"
11029,"resident",0.327432182413699,0.3275263,9.41175863012345e-05,72,"Resident (72)"
11029,"short distance",0.326701473660081,0.3275263,0.000824826339918705,78,"Short Distance (78)"
11029,"long distance",0.329740404129806,0.3275263,-0.00221410412980622,123,"Long Distance (123)"
11033,"resident",0.319915855561675,0.3174411,-0.00247475556167515,72,"Resident (72)"
11033,"short distance",0.30911115250076,0.3174411,0.00832994749924038,78,"Short Distance (78)"
11033,"long distance",0.319981849470222,0.3174411,-0.00254074947022215,123,"Long Distance (123)"
11045,"resident",0.319915855561675,0.3174411,-0.00247475556167515,72,"Resident (72)"
11045,"short distance",0.30911115250076,0.3174411,0.00832994749924038,78,"Short Distance (78)"
11045,"long distance",0.319981849470222,0.3174411,-0.00254074947022215,123,"Long Distance (123)"
11065,"resident",0.32440547245523,0.3226365,-0.00176897245522956,72,"Resident (72)"
11065,"short distance",0.316601401562338,0.3226365,0.00603509843766153,78,"Short Distance (78)"
11065,"long distance",0.325619589356108,0.3226365,-0.00298308935610792,123,"Long Distance (123)"
11208,"resident",0.300582039962454,0.3015329,0.000950860037546297,72,"Resident (72)"
11208,"short distance",0.309192823199352,0.3015329,-0.00765992319935171,78,"Short Distance (78)"
11208,"long distance",0.294860734004712,0.3015329,0.00667216599528819,123,"Long Distance (123)"
11210,"long distance",0.310372095989659,0.3143404,0.00396830401034098,123,"Long Distance (123)"
11210,"resident",0.320428115106697,0.3143404,-0.00608771510669726,72,"Resident (72)"
11210,"short distance",0.310711209679685,0.3143404,0.00362919032031522,78,"Short Distance (78)"
11223,"resident",0.321389923933692,0.316548,-0.00484192393369193,72,"Resident (72)"
11223,"short distance",0.314065529364146,0.316548,0.00248247063585427,78,"Short Distance (78)"
11223,"long distance",0.312968317257466,0.316548,0.00357968274253423,123,"Long Distance (123)"
11255,"resident",0.319356679957647,0.3178446,-0.00151207995764691,72,"Resident (72)"
11255,"short distance",0.311379232025379,0.3178446,0.00646536797462111,78,"Short Distance (78)"
11255,"long distance",0.321973247993975,0.3178446,-0.0041286479939755,123,"Long Distance (123)"
11256,"resident",0.319356679957647,0.3178446,-0.00151207995764691,72,"Resident (72)"
11256,"short distance",0.311379232025379,0.3178446,0.00646536797462111,78,"Short Distance (78)"
11256,"long distance",0.321973247993975,0.3178446,-0.0041286479939755,123,"Long Distance (123)"
11270,"resident",0.319915855561675,0.3174411,-0.00247475556167515,72,"Resident (72)"
11270,"short distance",0.30911115250076,0.3174411,0.00832994749924038,78,"Short Distance (78)"
11270,"long distance",0.319981849470222,0.3174411,-0.00254074947022215,123,"Long Distance (123)"
11609,"resident",0.300582039962454,0.3015329,0.000950860037546297,72,"Resident (72)"
11609,"short distance",0.309192823199352,0.3015329,-0.00765992319935171,78,"Short Distance (78)"
11609,"long distance",0.294860734004712,0.3015329,0.00667216599528819,123,"Long Distance (123)"
11709,"resident",0.300582039962454,0.3015329,0.000950860037546297,72,"Resident (72)"
11709,"short distance",0.309192823199352,0.3015329,-0.00765992319935171,78,"Short Distance (78)"
11709,"long distance",0.294860734004712,0.3015329,0.00667216599528819,123,"Long Distance (123)"
14001,"long distance",0.313895711851581,0.3137665,-0.00012921185158149,123,"Long Distance (123)"
14001,"resident",0.317948960423009,0.3137665,-0.0041824604230089,72,"Resident (72)"
14001,"short distance",0.307979931322876,0.3137665,0.00578656867712402,78,"Short Distance (78)"
14006,"long distance",0.313895711851581,0.3137665,-0.00012921185158149,123,"Long Distance (123)"
14006,"resident",0.317948960423009,0.3137665,-0.0041824604230089,72,"Resident (72)"
14006,"short distance",0.307979931322876,0.3137665,0.00578656867712402,78,"Short Distance (78)"
14014,"long distance",0.313895711851581,0.3137665,-0.00012921185158149,123,"Long Distance (123)"
14014,"resident",0.317948960423009,0.3137665,-0.0041824604230089,72,"Resident (72)"
14014,"short distance",0.307979931322876,0.3137665,0.00578656867712402,78,"Short Distance (78)"
14166,"resident",0.447282961765168,0.4648783,0.0175953382348316,72,"Resident (72)"
14166,"short distance",0.463485298337393,0.4648783,0.0013930016626072,78,"Short Distance (78)"
14166,"long distance",0.475279960705936,0.4648783,-0.0104016607059358,123,"Long Distance (123)"
14168,"resident",0.447628955624408,0.4649154,0.0172864443755918,72,"Resident (72)"
14168,"short distance",0.464983496282081,0.4649154,-6.80962820813202e-05,78,"Short Distance (78)"
14168,"long distance",0.474777954631151,0.4649154,-0.00986255463115099,123,"Long Distance (123)"
14198,"long distance",0.313895711851581,0.3137665,-0.00012921185158149,123,"Long Distance (123)"
14198,"resident",0.317948960423009,0.3137665,-0.0041824604230089,72,"Resident (72)"
14198,"short distance",0.307979931322876,0.3137665,0.00578656867712402,78,"Short Distance (78)"
14199,"resident",0.434664232092293,0.4546981,0.0200338679077072,72,"Resident (72)"
14199,"short distance",0.458283235120428,0.4546981,-0.00358513512042763,78,"Short Distance (78)"
14199,"long distance",0.466497831487598,0.4546981,-0.0117997314875978,123,"Long Distance (123)"
17001,"resident",0.441187712349956,0.4446783,0.00349058765004384,72,"Resident (72)"
17001,"short distance",0.448784830402729,0.4446783,-0.00410653040272868,78,"Short Distance (78)"
17001,"long distance",0.465247558850582,0.4446783,-0.0205692588505817,123,"Long Distance (123)"
17003,"resident",0.409869613451046,0.419377,0.00950738654895361,72,"Resident (72)"
17003,"short distance",0.420623479246686,0.419377,-0.00124647924668575,78,"Short Distance (78)"
17003,"long distance",0.425947286796621,0.419377,-0.00657028679662069,123,"Long Distance (123)"
17004,"resident",0.408349306494686,0.42113,0.0127806935053136,72,"Resident (72)"
17004,"short distance",0.423800984187214,0.42113,-0.00267098418721423,78,"Short Distance (78)"
17004,"long distance",0.428342905602603,0.42113,-0.00721290560260335,123,"Long Distance (123)"
17009,"resident",0.407480042759687,0.4133805,0.00590045724031257,72,"Resident (72)"
17009,"short distance",0.405325314707405,0.4133805,0.00805518529259547,78,"Short Distance (78)"
17009,"long distance",0.422792230562212,0.4133805,-0.00941173056221201,123,"Long Distance (123)"
17011,"resident",0.413611153053707,0.4264897,0.0128785469462933,72,"Resident (72)"
17011,"short distance",0.431218947716278,0.4264897,-0.00472924771627747,78,"Short Distance (78)"
17011,"long distance",0.429516836966273,0.4264897,-0.00302713696627283,123,"Long Distance (123)"
17017,"resident",0.409488455708548,0.4235471,0.0140586442914523,72,"Resident (72)"
17017,"short distance",0.422585254525835,0.4235471,0.00096184547416539,78,"Short Distance (78)"
17017,"long distance",0.431492092451057,0.4235471,-0.00794499245105684,123,"Long Distance (123)"
17031,"resident",0.407484164092654,0.4130246,0.00554043590734604,72,"Resident (72)"
17031,"short distance",0.39929082524513,0.4130246,0.0137337747548703,78,"Short Distance (78)"
17031,"long distance",0.423587112643282,0.4130246,-0.010562512643282,123,"Long Distance (123)"
17032,"resident",0.407480042759687,0.4133805,0.00590045724031257,72,"Resident (72)"
17032,"short distance",0.405325314707405,0.4133805,0.00805518529259547,78,"Short Distance (78)"
17032,"long distance",0.422792230562212,0.4133805,-0.00941173056221201,123,"Long Distance (123)"
17040,"resident",0.407158111473236,0.4207049,0.0135467885267639,72,"Resident (72)"
17040,"short distance",0.426514511874143,0.4207049,-0.00580961187414258,78,"Short Distance (78)"
17040,"long distance",0.426163749857505,0.4207049,-0.00545884985750522,123,"Long Distance (123)"
17047,"resident",0.40894460784337,0.426825,0.0178803921566302,72,"Resident (72)"
17047,"short distance",0.425766051013142,0.426825,0.00105894898685821,78,"Short Distance (78)"
17047,"long distance",0.439023978962734,0.426825,-0.0121989789627345,123,"Long Distance (123)"
17052,"resident",0.412213694832971,0.4255471,0.0133334051670295,72,"Resident (72)"
17052,"short distance",0.424442490961093,0.4255471,0.00110460903890697,78,"Short Distance (78)"
17052,"long distance",0.432995223912147,0.4255471,-0.00744812391214716,123,"Long Distance (123)"
17055,"resident",0.408941746931607,0.4267695,0.0178277530683926,72,"Resident (72)"
17055,"short distance",0.431297046723831,0.4267695,-0.00452754672383143,78,"Short Distance (78)"
17055,"long distance",0.434813747476383,0.4267695,-0.00804424747638316,123,"Long Distance (123)"
17202,"resident",0.409869613451046,0.419377,0.00950738654895361,72,"Resident (72)"
17202,"short distance",0.420623479246686,0.419377,-0.00124647924668575,78,"Short Distance (78)"
17202,"long distance",0.425947286796621,0.419377,-0.00657028679662069,123,"Long Distance (123)"
17203,"resident",0.409869613451046,0.419377,0.00950738654895361,72,"Resident (72)"
17203,"short distance",0.420623479246686,0.419377,-0.00124647924668575,78,"Short Distance (78)"
17203,"long distance",0.425947286796621,0.419377,-0.00657028679662069,123,"Long Distance (123)"
17209,"resident",0.407526471079872,0.4159528,0.0084263289201279,72,"Resident (72)"
17209,"short distance",0.411159030089417,0.4159528,0.00479376991058295,78,"Short Distance (78)"
17209,"long distance",0.424254654968895,0.4159528,-0.00830185496889502,123,"Long Distance (123)"
17211,"resident",0.407158111473236,0.4207049,0.0135467885267639,72,"Resident (72)"
17211,"short distance",0.426514511874143,0.4207049,-0.00580961187414258,78,"Short Distance (78)"
17211,"long distance",0.426163749857505,0.4207049,-0.00545884985750522,123,"Long Distance (123)"
17216,"resident",0.404879662521253,0.4160055,0.0111258374787468,72,"Resident (72)"
17216,"short distance",0.410659605472581,0.4160055,0.00534589452741896,78,"Short Distance (78)"
17216,"long distance",0.425634973430494,0.4160055,-0.00962947343049431,123,"Long Distance (123)"
17218,"resident",0.413891214071485,0.4309894,0.0170981859285153,72,"Resident (72)"
17218,"short distance",0.434865513392318,0.4309894,-0.00387611339231825,78,"Short Distance (78)"
17218,"long distance",0.438983834680234,0.4309894,-0.0079944346802342,123,"Long Distance (123)"
17222,"resident",0.412213694832971,0.4255471,0.0133334051670295,72,"Resident (72)"
17222,"short distance",0.424442490961093,0.4255471,0.00110460903890697,78,"Short Distance (78)"
17222,"long distance",0.432995223912147,0.4255471,-0.00744812391214716,123,"Long Distance (123)"
18003,"resident",0.576468690953403,0.6072143,0.0307456090465973,72,"Resident (72)"
18003,"short distance",0.607958104428344,0.6072143,-0.000743804428343542,78,"Short Distance (78)"
18003,"long distance",0.632070928837731,0.6072143,-0.0248566288377313,123,"Long Distance (123)"
18009,"resident",0.449204505731689,0.4825185,0.0333139942683114,72,"Resident (72)"
18009,"short distance",0.490313604474054,0.4825185,-0.00779510447405368,78,"Short Distance (78)"
18009,"long distance",0.511145880215979,0.4825185,-0.0286273802159793,123,"Long Distance (123)"
21001,"resident",0.581855000911929,0.6193666,0.0375115990880709,72,"Resident (72)"
21001,"short distance",0.630195850925086,0.6193666,-0.0108292509250862,78,"Short Distance (78)"
21001,"long distance",0.637398718132714,0.6193666,-0.0180321181327141,123,"Long Distance (123)"
21002,"resident",0.581855000911929,0.6193666,0.0375115990880709,72,"Resident (72)"
21002,"short distance",0.630195850925086,0.6193666,-0.0108292509250862,78,"Short Distance (78)"
21002,"long distance",0.637398718132714,0.6193666,-0.0180321181327141,123,"Long Distance (123)"
21003,"resident",0.575506783968244,0.6133939,0.0378871160317564,72,"Resident (72)"
21003,"short distance",0.622797145693924,0.6133939,-0.00940324569392359,78,"Short Distance (78)"
