"focal_rte","scale","Breeding.Biome","excl_dir","dir_core_regional","dir_core_local","dir_diff","n_spp","hab_plot"
2029,"nesting_dir","Habitat Generalist",0.588852109471856,0.5774505,0.465989426191848,-0.011401609471856,23,"Habitat Generalist (23)"
2029,"nesting_dir","Grassland",0.566572566743382,0.5774505,0.465989426191848,0.0108779332566182,25,"Grassland (25)"
2029,"nesting_dir","Introduced",0.569279805334185,0.5774505,0.465989426191848,0.00817069466581455,8,"Introduced (8)"
2029,"nesting_dir","Aridlands",0.578128164417416,0.5774505,0.465989426191848,-0.000677664417415569,34,"Aridlands (34)"
2029,"nesting_dir","Wetland",0.57749872648955,0.5774505,0.465989426191848,-4.82264895499407e-05,6,"Wetland (6)"
2029,"nesting_dir_local","Eastern Forest",0.479106651999764,0.5774505,0.465989426191848,-0.0131172258079159,56,"Eastern Forest (56)"
2029,"nesting_dir_local","Forest Generalist",0.460685271307657,0.5774505,0.465989426191848,0.00530415488419078,31,"Forest Generalist (31)"
2029,"nesting_dir_local","Habitat Generalist",0.469225889029268,0.5774505,0.465989426191848,-0.00323646283741957,23,"Habitat Generalist (23)"
2029,"nesting_dir_local","Aridlands",0.465578644800323,0.5774505,0.465989426191848,0.000410781391524728,34,"Aridlands (34)"
2029,"nesting_dir_local","Grassland",0.463474306989495,0.5774505,0.465989426191848,0.00251511920235309,25,"Grassland (25)"
2029,"nesting_dir_local","Introduced",0.464168189829143,0.5774505,0.465989426191848,0.00182123636270454,8,"Introduced (8)"
2035,"nesting_dir","Eastern Forest",0.606118417390515,0.5985589,0.391763052484428,-0.00755951739051464,56,"Eastern Forest (56)"
2035,"nesting_dir","Habitat Generalist",0.60452006897544,0.5985589,0.391763052484428,-0.00596116897544008,23,"Habitat Generalist (23)"
2035,"nesting_dir","Forest Generalist",0.609061259607561,0.5985589,0.391763052484428,-0.0105023596075611,31,"Forest Generalist (31)"
2035,"nesting_dir","Grassland",0.588257271058534,0.5985589,0.391763052484428,0.010301628941466,25,"Grassland (25)"
2035,"nesting_dir","Introduced",0.589142126623832,0.5985589,0.391763052484428,0.00941677337616775,8,"Introduced (8)"
2035,"nesting_dir","Aridlands",0.599131962902318,0.5985589,0.391763052484428,-0.000573062902317623,34,"Aridlands (34)"
2035,"nesting_dir","Wetland",0.599131857801356,0.5985589,0.391763052484428,-0.0005729578013558,6,"Wetland (6)"
2035,"nesting_dir_local","Eastern Forest",0.415308641922927,0.5985589,0.391763052484428,-0.0235455894384987,56,"Eastern Forest (56)"
2035,"nesting_dir_local","Habitat Generalist",0.386262443174743,0.5985589,0.391763052484428,0.00550060930968549,23,"Habitat Generalist (23)"
2035,"nesting_dir_local","Aridlands",0.395073985693227,0.5985589,0.391763052484428,-0.00331093320879894,34,"Aridlands (34)"
2035,"nesting_dir_local","Forest Generalist",0.39582487133108,0.5985589,0.391763052484428,-0.00406181884665174,31,"Forest Generalist (31)"
2035,"nesting_dir_local","Grassland",0.388765522116696,0.5985589,0.391763052484428,0.00299753036773159,25,"Grassland (25)"
2035,"nesting_dir_local","Introduced",0.37736178703637,0.5985589,0.391763052484428,0.0144012654480581,8,"Introduced (8)"
2036,"nesting_dir","Eastern Forest",0.61219107554524,0.6012256,0.434006002611822,-0.0109654755452399,56,"Eastern Forest (56)"
2036,"nesting_dir","Forest Generalist",0.611319166853929,0.6012256,0.434006002611822,-0.010093566853929,31,"Forest Generalist (31)"
2036,"nesting_dir","Habitat Generalist",0.605658612009282,0.6012256,0.434006002611822,-0.00443301200928237,23,"Habitat Generalist (23)"
2036,"nesting_dir","Grassland",0.590906622564356,0.6012256,0.434006002611822,0.0103189774356441,25,"Grassland (25)"
2036,"nesting_dir","Introduced",0.588470464647972,0.6012256,0.434006002611822,0.0127551353520278,8,"Introduced (8)"
2036,"nesting_dir","Aridlands",0.602154622346867,0.6012256,0.434006002611822,-0.000929022346867425,34,"Aridlands (34)"
2036,"nesting_dir","Wetland",0.601564228329373,0.6012256,0.434006002611822,-0.000338628329373036,6,"Wetland (6)"
2036,"nesting_dir_local","Eastern Forest",0.409593084189201,0.6012256,0.434006002611822,0.0244129184226206,56,"Eastern Forest (56)"
2036,"nesting_dir_local","Forest Generalist",0.444886747300336,0.6012256,0.434006002611822,-0.0108807446885141,31,"Forest Generalist (31)"
