"focal_rte","spp_excl_dir","Trophic.Group","excl_dir","dir_diff"
2065,0.576717253581176,"nectarivore",0.552206361754542,0.0245108918266336
2065,0.576717253581176,"insct/om",0.557880695326083,0.0188365582550933
2066,0.572602422081813,"granivore",0.540712655350785,0.0318897667310277
2066,0.572602422081813,"insectivore",0.516329203567354,0.056273218514459
2066,0.572602422081813,"omnivore",0.53531367774355,0.0372887443382628
2066,0.572602422081813,"nectarivore",0.538421410916706,0.0341810111651071
2066,0.572602422081813,"insct/om",0.541426564755863,0.0311758573259503
2072,0.569163708643927,"granivore",0.530023064464976,0.0391406441789514
2072,0.569163708643927,"insectivore",0.475212736848801,0.0939509717951255
2072,0.569163708643927,"nectarivore",0.527704246633241,0.0414594620106856
2072,0.569163708643927,"omnivore",0.531238262013787,0.0379254466301397
2072,0.569163708643927,"insct/om",0.534802866852277,0.0343608417916501
2140,0.577377260827987,"granivore",0.546811484135293,0.030565776692694
2140,0.577377260827987,"insectivore",0.515385016135728,0.0619922446922591
2140,0.577377260827987,"omnivore",0.543794629660852,0.0335826311671347
2140,0.577377260827987,"nectarivore",0.544531882772853,0.032845378055134
2140,0.577377260827987,"insct/om",0.547954217492796,0.0294230433351914
2142,0.569488672802292,"granivore",0.542386979492623,0.0271016933096693
2142,0.569488672802292,"insectivore",0.521414680638109,0.0480739921641833
2142,0.569488672802292,"omnivore",0.535429045875632,0.0340596269266596
2142,0.569488672802292,"insct/om",0.541675159224454,0.027813513577838
2142,0.569488672802292,"nectarivore",0.539125191532126,0.030363481270166
3021,0.311715896126363,"insectivore",0.290586325691376,0.0211295704349871
3021,0.311715896126363,"nectarivore",0.307309153132297,0.00440674299406618
3021,0.311715896126363,"omnivore",0.313491302914604,-0.00177540678824134
3021,0.311715896126363,"granivore",0.304610619968127,0.00710527615823586
3021,0.311715896126363,"insct/om",0.306256228509283,0.00545966761708044
3021,0.311715896126363,"herbivore",0.306169715389003,0.00554618073735996
3224,0.311715896126363,"insectivore",0.290586325691376,0.0211295704349871
3224,0.311715896126363,"nectarivore",0.307309153132297,0.00440674299406618
3224,0.311715896126363,"omnivore",0.313491302914604,-0.00177540678824134
3224,0.311715896126363,"granivore",0.304610619968127,0.00710527615823586
3224,0.311715896126363,"insct/om",0.306256228509283,0.00545966761708044
3224,0.311715896126363,"herbivore",0.306169715389003,0.00554618073735996
3429,0.311715896126363,"insectivore",0.290586325691376,0.0211295704349871
3429,0.311715896126363,"nectarivore",0.307309153132297,0.00440674299406618
3429,0.311715896126363,"omnivore",0.313491302914604,-0.00177540678824134
3429,0.311715896126363,"granivore",0.304610619968127,0.00710527615823586
3429,0.311715896126363,"insct/om",0.306256228509283,0.00545966761708044
3429,0.311715896126363,"herbivore",0.306169715389003,0.00554618073735996
4002,0.291708774815072,"granivore",0.298597079431418,-0.00688830461634604
4002,0.291708774815072,"insectivore",0.29419893741939,-0.0024901626043175
4002,0.291708774815072,"omnivore",0.293512524075251,-0.00180374926017929
4002,0.291708774815072,"insct/om",0.297448175108927,-0.00573940029385533
4002,0.291708774815072,"herbivore",0.297043352762184,-0.00533457794711173
4004,0.291708774815072,"granivore",0.298597079431418,-0.00688830461634604
4004,0.291708774815072,"insectivore",0.29419893741939,-0.0024901626043175
4004,0.291708774815072,"omnivore",0.293512524075251,-0.00180374926017929
4004,0.291708774815072,"insct/om",0.297448175108927,-0.00573940029385533
4004,0.291708774815072,"herbivore",0.297043352762184,-0.00533457794711173
4007,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4007,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4007,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
4007,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4007,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4010,0.321439624388403,"omnivore",0.31383670502023,0.00760291936817276
4010,0.321439624388403,"insectivore",0.31613507529108,0.00530454909732309
4010,0.321439624388403,"nectarivore",0.314785909680588,0.00665371470781501
4010,0.321439624388403,"insct/om",0.313397110341429,0.00804251404697381
4010,0.321439624388403,"granivore",0.318798005051328,0.00264161933707535
4010,0.321439624388403,"herbivore",0.315024328060801,0.00641529632760196
4014,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4014,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4014,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
4014,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4014,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4017,0.323146315817897,"omnivore",0.315714445869278,0.00743186994861933
4017,0.323146315817897,"insectivore",0.319426515032435,0.00371980078546236
4017,0.323146315817897,"nectarivore",0.316685251869024,0.00646106394887269
4017,0.323146315817897,"insct/om",0.315112379160276,0.00803393665762053
4017,0.323146315817897,"granivore",0.322094239235417,0.00105207658248035
4017,0.323146315817897,"herbivore",0.316911873450159,0.0062344423677384
4018,0.293880244731758,"granivore",0.297862206076248,-0.00398196134449003
4018,0.293880244731758,"insectivore",0.294003330718682,-0.000123085986924343
4018,0.293880244731758,"omnivore",0.291617392070663,0.00226285266109461
4018,0.293880244731758,"insct/om",0.296436032247791,-0.00255578751603258
4018,0.293880244731758,"herbivore",0.296233086196989,-0.00235284146523052
4018,0.293880244731758,"nectarivore",0.295810440908161,-0.00193019617640267
4027,0.293880244731758,"granivore",0.297862206076248,-0.00398196134449003
4027,0.293880244731758,"insectivore",0.294003330718682,-0.000123085986924343
4027,0.293880244731758,"omnivore",0.291617392070663,0.00226285266109461
4027,0.293880244731758,"insct/om",0.296436032247791,-0.00255578751603258
4027,0.293880244731758,"herbivore",0.296233086196989,-0.00235284146523052
4027,0.293880244731758,"nectarivore",0.295810440908161,-0.00193019617640267
4028,0.293880244731758,"granivore",0.297862206076248,-0.00398196134449003
4028,0.293880244731758,"insectivore",0.294003330718682,-0.000123085986924343
4028,0.293880244731758,"omnivore",0.291617392070663,0.00226285266109461
4028,0.293880244731758,"insct/om",0.296436032247791,-0.00255578751603258
4028,0.293880244731758,"herbivore",0.296233086196989,-0.00235284146523052
4028,0.293880244731758,"nectarivore",0.295810440908161,-0.00193019617640267
4029,0.293880244731758,"granivore",0.297862206076248,-0.00398196134449003
4029,0.293880244731758,"insectivore",0.294003330718682,-0.000123085986924343
4029,0.293880244731758,"omnivore",0.291617392070663,0.00226285266109461
4029,0.293880244731758,"insct/om",0.296436032247791,-0.00255578751603258
4029,0.293880244731758,"herbivore",0.296233086196989,-0.00235284146523052
4029,0.293880244731758,"nectarivore",0.295810440908161,-0.00193019617640267
4105,0.310098498261207,"omnivore",0.303430254890607,0.00666824337059968
4105,0.310098498261207,"insectivore",0.305448879911566,0.00464961834964106
4105,0.310098498261207,"nectarivore",0.305721345885634,0.00437715237557251
4105,0.310098498261207,"insct/om",0.306085551017848,0.00401294724335904
4105,0.310098498261207,"granivore",0.309550214122473,0.000548284138733701
4105,0.310098498261207,"herbivore",0.305815001265036,0.00428349699617064
4113,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4113,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4113,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
4113,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4113,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4114,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4114,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4114,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
4114,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4114,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4115,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4115,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4115,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
4115,0.288054573453174,"insct/om",0.298305813939664,-0.0102512404864905
4115,0.288054573453174,"herbivore",0.29563146518842,-0.00757689173524578
4128,0.293880244731758,"granivore",0.297862206076248,-0.00398196134449003
4128,0.293880244731758,"insectivore",0.294003330718682,-0.000123085986924343
4128,0.293880244731758,"omnivore",0.291617392070663,0.00226285266109461
4128,0.293880244731758,"insct/om",0.296436032247791,-0.00255578751603258
4128,0.293880244731758,"herbivore",0.296233086196989,-0.00235284146523052
4128,0.293880244731758,"nectarivore",0.295810440908161,-0.00193019617640267
4129,0.288054573453174,"granivore",0.296192065422564,-0.00813749196939001
4129,0.288054573453174,"insectivore",0.29251515391837,-0.00446058046519637
4129,0.288054573453174,"omnivore",0.289711291025795,-0.00165671757262109
