"focal_rte","scale","Trophic.Group","excl_dir","dir_core_regional","dir_core_local","dir_diff","n_spp","trophic_plot"
2020,"trophic_dir","insectivore",0.653227839225949,0.6025268,0.523951222432466,-0.050701039225949,162,"Insectivore (162)"
2020,"trophic_dir","nectarivore",0.602965821156009,0.6025268,0.523951222432466,-0.000439021156009356,6,"Nectarivore (6)"
2020,"trophic_dir","insect/omnivore",0.600815340062439,0.6025268,0.523951222432466,0.00171145993756139,55,"Insect/Omnivore (55)"
2020,"trophic_dir_local","herbivore",0.51411468734678,0.6025268,0.523951222432466,0.00983653508568583,8,"Herbivore (8)"
2020,"trophic_dir_local","granivore",0.525210222285095,0.6025268,0.523951222432466,-0.00125899985262934,23,"Granivore (23)"
2020,"trophic_dir_local","insectivore",0.547419434000584,0.6025268,0.523951222432466,-0.0234682115681177,162,"Insectivore (162)"
2020,"trophic_dir_local","omnivore",0.525666017996608,0.6025268,0.523951222432466,-0.00171479556414245,22,"Omnivore (22)"
2020,"trophic_dir_local","insect/omnivore",0.516571074232326,0.6025268,0.523951222432466,0.00738014820013977,55,"Insect/Omnivore (55)"
2020,"trophic_dir_local","nectarivore",0.526118993427231,0.6025268,0.523951222432466,-0.00216777099476551,6,"Nectarivore (6)"
2022,"trophic_dir","herbivore",0.574516512309277,0.5990036,0.492141340689184,0.0244870876907229,8,"Herbivore (8)"
2022,"trophic_dir","omnivore",0.597827212133528,0.5990036,0.492141340689184,0.00117638786647156,22,"Omnivore (22)"
2022,"trophic_dir","granivore",0.599879647261896,0.5990036,0.492141340689184,-0.000876047261895829,23,"Granivore (23)"
2022,"trophic_dir","insectivore",0.645541683361507,0.5990036,0.492141340689184,-0.0465380833615072,162,"Insectivore (162)"
2022,"trophic_dir","nectarivore",0.599322463802528,0.5990036,0.492141340689184,-0.000318863802527658,6,"Nectarivore (6)"
2022,"trophic_dir","insect/omnivore",0.599127055968218,0.5990036,0.492141340689184,-0.000123455968218167,55,"Insect/Omnivore (55)"
2022,"trophic_dir_local","herbivore",0.47987913713475,0.5990036,0.492141340689184,0.0122622035544336,8,"Herbivore (8)"
2022,"trophic_dir_local","omnivore",0.496580421807589,0.5990036,0.492141340689184,-0.00443908111840524,22,"Omnivore (22)"
2022,"trophic_dir_local","granivore",0.479395020379892,0.5990036,0.492141340689184,0.0127463203092925,23,"Granivore (23)"
2022,"trophic_dir_local","insectivore",0.55450263895867,0.5990036,0.492141340689184,-0.0623612982694857,162,"Insectivore (162)"
2022,"trophic_dir_local","nectarivore",0.492689450029026,0.5990036,0.492141340689184,-0.000548109339842451,6,"Nectarivore (6)"
2022,"trophic_dir_local","insect/omnivore",0.487220473789334,0.5990036,0.492141340689184,0.00492086689984972,55,"Insect/Omnivore (55)"
2025,"trophic_dir","herbivore",0.587720218983984,0.6078314,0.492141340689184,0.0201111810160158,8,"Herbivore (8)"
2025,"trophic_dir","granivore",0.614111903255878,0.6078314,0.492141340689184,-0.00628050325587848,23,"Granivore (23)"
2025,"trophic_dir","insectivore",0.651551477428716,0.6078314,0.492141340689184,-0.0437200774287156,162,"Insectivore (162)"
2025,"trophic_dir","omnivore",0.605330390528481,0.6078314,0.492141340689184,0.0025010094715191,22,"Omnivore (22)"
2025,"trophic_dir","nectarivore",0.608112411710585,0.6078314,0.492141340689184,-0.000281011710585255,6,"Nectarivore (6)"
2025,"trophic_dir","insect/omnivore",0.601363294402709,0.6078314,0.492141340689184,0.00646810559729072,55,"Insect/Omnivore (55)"
2025,"trophic_dir_local","herbivore",0.47987913713475,0.6078314,0.492141340689184,0.0122622035544336,8,"Herbivore (8)"
2025,"trophic_dir_local","omnivore",0.496580421807589,0.6078314,0.492141340689184,-0.00443908111840524,22,"Omnivore (22)"
2025,"trophic_dir_local","granivore",0.479395020379892,0.6078314,0.492141340689184,0.0127463203092925,23,"Granivore (23)"
2025,"trophic_dir_local","insectivore",0.55450263895867,0.6078314,0.492141340689184,-0.0623612982694857,162,"Insectivore (162)"
2025,"trophic_dir_local","nectarivore",0.492689450029026,0.6078314,0.492141340689184,-0.000548109339842451,6,"Nectarivore (6)"
2025,"trophic_dir_local","insect/omnivore",0.487220473789334,0.6078314,0.492141340689184,0.00492086689984972,55,"Insect/Omnivore (55)"
2029,"trophic_dir","herbivore",0.566775876614458,0.5774505,0.465989426191848,0.0106746233855416,8,"Herbivore (8)"
2029,"trophic_dir","omnivore",0.573089714764409,0.5774505,0.465989426191848,0.00436078523559069,22,"Omnivore (22)"
2029,"trophic_dir","granivore",0.588651509717668,0.5774505,0.465989426191848,-0.0112010097176676,23,"Granivore (23)"
2029,"trophic_dir","insectivore",0.619609039790198,0.5774505,0.465989426191848,-0.0421585397901979,162,"Insectivore (162)"
2029,"trophic_dir","nectarivore",0.577722022742541,0.5774505,0.465989426191848,-0.000271522742540942,6,"Nectarivore (6)"
2029,"trophic_dir","insect/omnivore",0.559308538507563,0.5774505,0.465989426191848,0.0181419614924365,55,"Insect/Omnivore (55)"
2029,"trophic_dir_local","herbivore",0.46642478526176,0.5774505,0.465989426191848,-0.000435359069911878,8,"Herbivore (8)"
2029,"trophic_dir_local","omnivore",0.457739659974699,0.5774505,0.465989426191848,0.00824976621714935,22,"Omnivore (22)"
2029,"trophic_dir_local","granivore",0.468491953940676,0.5774505,0.465989426191848,-0.00250252774882764,23,"Granivore (23)"
2029,"trophic_dir_local","insectivore",0.467527004898338,0.5774505,0.465989426191848,-0.00153757870648957,162,"Insectivore (162)"
2029,"trophic_dir_local","nectarivore",0.470100509357964,0.5774505,0.465989426191848,-0.00411108316611591,6,"Nectarivore (6)"
2029,"trophic_dir_local","insect/omnivore",0.467515966607274,0.5774505,0.465989426191848,-0.00152654041542638,55,"Insect/Omnivore (55)"
2035,"trophic_dir","herbivore",0.578353415721721,0.5985589,0.391763052484428,0.0202054842782791,8,"Herbivore (8)"
2035,"trophic_dir","granivore",0.606127628731766,0.5985589,0.391763052484428,-0.00756872873176606,23,"Granivore (23)"
2035,"trophic_dir","insectivore",0.649745743499295,0.5985589,0.391763052484428,-0.0511868434992954,162,"Insectivore (162)"
2035,"trophic_dir","omnivore",0.593533571416643,0.5985589,0.391763052484428,0.00502532858335714,22,"Omnivore (22)"
2035,"trophic_dir","insect/omnivore",0.590216741264734,0.5985589,0.391763052484428,0.00834215873526567,55,"Insect/Omnivore (55)"
2035,"trophic_dir","nectarivore",0.59893484987697,0.5985589,0.391763052484428,-0.000375949876969983,6,"Nectarivore (6)"
2035,"trophic_dir_local","herbivore",0.391491751756187,0.5985589,0.391763052484428,0.000271300728240886,8,"Herbivore (8)"
2035,"trophic_dir_local","granivore",0.394877714704322,0.5985589,0.391763052484428,-0.00311466221989415,23,"Granivore (23)"
2035,"trophic_dir_local","insectivore",0.416037328972303,0.5985589,0.391763052484428,-0.024274276487875,162,"Insectivore (162)"
2035,"trophic_dir_local","omnivore",0.381913786681112,0.5985589,0.391763052484428,0.00984926580331591,22,"Omnivore (22)"
2035,"trophic_dir_local","nectarivore",0.39167549064691,0.5985589,0.391763052484428,8.75618375182907e-05,6,"Nectarivore (6)"
2035,"trophic_dir_local","insect/omnivore",0.38661166163596,0.5985589,0.391763052484428,0.00515139084846794,55,"Insect/Omnivore (55)"
2036,"trophic_dir","herbivore",0.577170077301248,0.6012256,0.434006002611822,0.0240555226987518,8,"Herbivore (8)"
2036,"trophic_dir","omnivore",0.599049595151765,0.6012256,0.434006002611822,0.00217600484823488,22,"Omnivore (22)"
2036,"trophic_dir","granivore",0.603757001046553,0.6012256,0.434006002611822,-0.00253140104655258,23,"Granivore (23)"
2036,"trophic_dir","insectivore",0.650994721816768,0.6012256,0.434006002611822,-0.0497691218167676,162,"Insectivore (162)"
2036,"trophic_dir","nectarivore",0.601535707718653,0.6012256,0.434006002611822,-0.000310107718652697,6,"Nectarivore (6)"
2036,"trophic_dir","insect/omnivore",0.599099507222284,0.6012256,0.434006002611822,0.00212609277771592,55,"Insect/Omnivore (55)"
2036,"trophic_dir_local","herbivore",0.429914878401201,0.6012256,0.434006002611822,0.00409112421062141,8,"Herbivore (8)"
2036,"trophic_dir_local","omnivore",0.431864247864971,0.6012256,0.434006002611822,0.00214175474685124,22,"Omnivore (22)"
2036,"trophic_dir_local","granivore",0.437333227285659,0.6012256,0.434006002611822,-0.00332722467383684,23,"Granivore (23)"
2036,"trophic_dir_local","insectivore",0.438278991681914,0.6012256,0.434006002611822,-0.0042729890700921,162,"Insectivore (162)"
2036,"trophic_dir_local","insect/omnivore",0.436056471065586,0.6012256,0.434006002611822,-0.00205046845376378,55,"Insect/Omnivore (55)"
2043,"trophic_dir","herbivore",0.576609476788306,0.5985387,0.458886493596771,0.0219292232116943,8,"Herbivore (8)"
2043,"trophic_dir","granivore",0.601450939038408,0.5985387,0.458886493596771,-0.00291223903840754,23,"Granivore (23)"
2043,"trophic_dir","insectivore",0.645284852963897,0.5985387,0.458886493596771,-0.0467461529638966,162,"Insectivore (162)"
2043,"trophic_dir","omnivore",0.594008315708154,0.5985387,0.458886493596771,0.0045303842918456,22,"Omnivore (22)"
2043,"trophic_dir","nectarivore",0.59909120212779,0.5985387,0.458886493596771,-0.000552502127789789,6,"Nectarivore (6)"
2043,"trophic_dir","insect/omnivore",0.596501123444073,0.5985387,0.458886493596771,0.00203757655592718,55,"Insect/Omnivore (55)"
2043,"trophic_dir_local","herbivore",0.438086513241743,0.5985387,0.458886493596771,0.0207999803550278,8,"Herbivore (8)"
2043,"trophic_dir_local","omnivore",0.46359733415664,0.5985387,0.458886493596771,-0.00471084055986859,22,"Omnivore (22)"
2043,"trophic_dir_local","granivore",0.454818834715548,0.5985387,0.458886493596771,0.00406765888122301,23,"Granivore (23)"
2043,"trophic_dir_local","insectivore",0.485658161974623,0.5985387,0.458886493596771,-0.0267716683778522,162,"Insectivore (162)"
2043,"trophic_dir_local","nectarivore",0.458710312611486,0.5985387,0.458886493596771,0.000176180985285268,6,"Nectarivore (6)"
2043,"trophic_dir_local","insect/omnivore",0.46811694593717,0.5985387,0.458886493596771,-0.0092304523403986,55,"Insect/Omnivore (55)"
2045,"trophic_dir","herbivore",0.543088592006235,0.5796823,0.452727030919831,0.0365937079937649,8,"Herbivore (8)"
2045,"trophic_dir","granivore",0.589136330255846,0.5796823,0.452727030919831,-0.00945403025584624,23,"Granivore (23)"
2045,"trophic_dir","insectivore",0.629046633281665,0.5796823,0.452727030919831,-0.0493643332816651,162,"Insectivore (162)"
