"aou","CommonName","sci_name","Breeding.Biome","migclass","Foraging","Trophic.Group"
5100,"Brewer's Blackbird","Euphagus cyanocephalus","Habitat Generalist","short","ground glean","insectivore"
5380,"Chestnut-collared Longspur","Calcarius ornatus","Grassland","short","ground glean","insct/om"
5400,"Vesper Sparrow","Pooecetes gramineus","Grassland","short","ground glean","insct/om"
5450,"Baird's Sparrow","Centronyx bairdii","Grassland","neotrop","ground glean","insct/om"
5610,"Clay-colored Sparrow","Spizella pallida","Grassland","neotrop","ground glean","insct/om"
6050,"Lark Bunting","Calamospiza melanocorys","Grassland","neotrop","ground glean","insct/om"
5480,"Le Conte's Sparrow",NA,NA,"short","ground glean","insct/om"
7000,"Sprague's Pipit","Anthus spragueii","Grassland","short","ground glean","insectivore"
7680,"Mountain Bluebird","Sialia currucoides","Western Forest","short","swoops","insectivore"
5390,"McCown's Longspur","Rhynchophanes mccownii","Grassland","short","ground glean","insct/om"
5620,"Brewer's Sparrow","Spizella breweri","Aridlands","neotrop","ground glean","insct/om"
3000,"Ruffed Grouse","Bonasa umbellus","Forest Generalist","resid","ground glean","omnivore"
4021,"Red-naped Sapsucker","Sphyrapicus nuchalis","Western Forest","short","bark glean","insectivore"
4640,"Cordilleran Flycatcher","Empidonax occidentalis","Western Forest","neotrop","hawks","insectivore"
4660,"Willow Flycatcher","Empidonax traillii","Eastern Forest","neotrop","hawks","insectivore"
4690,"Dusky Flycatcher","Empidonax oberholseri","Western Forest","neotrop","hawks","insectivore"
4840,"Gray Jay",NA,NA,"resid","ground glean","omnivore"
5540,"White-crowned Sparrow","Zonotrichia leucophrys","Habitat Generalist","short","ground glean","insct/om"
5990,"Lazuli Bunting","Passerina amoena","Western Forest","neotrop","ground glean","insct/om"
6470,"Tennessee Warbler","Oreothlypis peregrina","Boreal Forest","neotrop","foliage glean","insectivore"
6750,"Northern Waterthrush","Parkesia noveboracensis","Boreal Forest","neotrop","ground glean","insectivore"
7280,"Red-breasted Nuthatch","Sitta canadensis","Forest Generalist","short","bark glean","insectivore"
