"focal_rte","migclass","excl_dir","dir_core","dir_diff"
4007,"resid",0.281787763894301,0.2933795,0.0115917361056988
4007,"short",0.309755934994165,0.2933795,-0.0163764349941649
4007,"neotrop",0.291050365395246,0.2933795,0.00232913460475392
4010,"resid",0.327192013335435,0.3263174,-0.000874613335434593
4010,"short",0.324979008545145,0.3263174,0.00133839145485526
4010,"neotrop",0.325484167624446,0.3263174,0.000833232375553883
4014,"resid",0.281787763894301,0.2933795,0.0115917361056988
4014,"short",0.309755934994165,0.2933795,-0.0163764349941649
4014,"neotrop",0.291050365395246,0.2933795,0.00232913460475392
4017,"resid",0.327432182413699,0.3275263,9.41175863012345e-05
4017,"short",0.326701473660081,0.3275263,0.000824826339918705
4017,"neotrop",0.329740404129806,0.3275263,-0.00221410412980622
4018,"resid",0.288836773614694,0.2998514,0.0110146263853059
