"country","stateroute","stops","common_label","deltaCover"
"US",14134,"1-25","Shrubland",0.00376187528183496
"US",14134,"26-50","Shrubland",0.00976466577995816
"US",14135,"1-25","Shrubland",0.0130843766204904
"US",14135,"26-50","Shrubland",0.00917997815550548
"US",14137,"1-25","Grasslands",-0.00516089362574296
"US",14137,"26-50","Urban",0.00152531066685922
"US",14138,"1-25","Shrubland",0.0094619100681912
"US",14138,"26-50","Shrubland",0.00686560923985473
"US",14139,"1-25","Barren",-0.00101053059203636
"US",14139,"26-50","Shrubland",-0.00330846946725764
"US",14140,"1-25","Grasslands",0.00956499146558444
"US",14140,"26-50","Agricultural",-0.0057352681316662
"US",14141,"1-25","Forest",-0.00448440149659496
"US",14141,"26-50","Forest",-0.0126227642625556
"US",14142,"1-25","Grasslands",-0.00609061882525073
"US",14142,"26-50","Forest",0.00636921870917168
"US",14145,"1-25","Barren",-0.00341626840057706
"US",14145,"26-50","Barren",-0.00296545826410137
"US",14147,"1-25","Urban",0.00237091171618468
"US",14147,"26-50","Urban",0.00232217357148893
"US",14148,"1-25","Water",-0.00231711322148937
"US",14148,"26-50","Urban",0.00145659237818243
"US",14149,"1-25","Grasslands",-0.00143006000503036
"US",14149,"26-50","Grasslands",-0.00285763087650672
"US",14150,"1-25","Urban",0.00217186760391946
"US",14150,"26-50","Agricultural",-0.00272724011882516
"US",14151,"1-25","Grasslands",0.00468902221893751
"US",14151,"26-50","Grasslands",0.00766199955445758
"US",14152,"1-25","Grasslands",-0.00569479363258664
"US",14152,"26-50","Grasslands",-0.00297454066018244
"US",14153,"1-25","Shrubland",0.00491657111821856
"US",14153,"26-50","Agricultural",-0.00226908291445243
"US",14154,"1-25","Shrubland",0.00430787096774196
"US",14154,"26-50","Shrubland",0.00474540233059036
"US",14155,"1-25","Grasslands",-0.00182601925020294
"US",14155,"26-50","Urban",0.00563705874772412
"US",14156,"1-25","Forest",-0.019416195648567
"US",14156,"26-50","Forest",-0.0162476691274476
"US",14157,"1-25","Forest",-0.00594683034696124
"US",14157,"26-50","Shrubland",0.00441836943893936
"US",14158,"1-25","Agricultural",-0.00807570511932787
"US",14158,"26-50","Shrubland",0.00311595106740224
"US",14159,"1-25","Urban",0.00274298396432559
"US",14159,"26-50","Urban",0.00223416660717139
"US",14160,"1-25","Shrubland",0.0105432711223634
"US",14160,"26-50","Grasslands",-0.0122986782386809
"US",14161,"1-25","Shrubland",0.0160781666577635
"US",14161,"26-50","Shrubland",0.0180098529871755
"US",14162,"1-25","Shrubland",-0.0099976204882758
"US",14162,"26-50","Grasslands",0.0175084965253923
"US",14163,"1-25","Forest",-0.00973981637767005
"US",14163,"26-50","Forest",-0.00863705729631172
"US",14165,"1-25","Water",-0.00479633185505088
"US",14165,"26-50","Water",-0.00520270813320217
"US",14166,"1-25","Water",-0.0010330116553136
"US",14166,"26-50","Shrubland",0.00146672130187904
"US",14167,"1-25","Forest",-0.0133310070641865
"US",14167,"26-50","Forest",-0.00712278670938108
"US",14168,"1-25","Forest",-0.00242925601883876
"US",14168,"26-50","Shrubland",0.00297970941468571
