"focal_rte","nesting_group","excl_dir","dir_core","dir_diff"
2053,"Urban",0.614306939252547,0.6025268,-0.0117801392525472
2053,"Grassland",0.595595895243128,0.6025268,0.0069309047568723
2053,"Coniferous forest",0.609917672519362,0.6025268,-0.00739087251936177
2054,"Woodland",0.595128549826988,0.5973072,0.00217865017301166
2054,"Urban",0.601500404447077,0.5973072,-0.00419320444707671
2054,"Deciduous forest",0.599431107029495,0.5973072,-0.00212390702949472
2054,"Grassland",0.587070850478226,0.5973072,0.0102363495217743
2054,"Coniferous forest",0.6052747365395,0.5973072,-0.00796753653950022
2057,"Woodland",0.483583425610131,0.4842505,0.00066707438986896
2057,"Urban",0.501961589191258,0.4842505,-0.0177110891912579
2057,"Deciduous forest",0.491424494701075,0.4842505,-0.00717399470107455
2057,"Grassland",0.480802094641254,0.4842505,0.00344840535874552
