"aou","temp_range","temp_mean"
4641,11.6,16.2589873417722
4642,8.5,14.6848484848485
4650,7.82,23.7887000849618
4660,11.1,18.9649700598802
4661,7.9,16.7344469190794
4665,8.02,17.9260869565217
4670,8.03499999999999,17.4375142531357
4679,16.5,18.8562770562771
4680,9.035,14.6018218623482
4689,12.13,15.085
4690,10.6,15.3965397923875
4691,9.65,17.640625
4710,7.355,27.2462962962963
4740,12,20.879324144064
4750,11.125,17.2787878787879
4760,7.74,21.9377777777778
4770,12.1,21.3704868154158
4780,10.985,15.7133012820513
4790,0.564999999999998,27.18
4810,4.32,16.7529411764706
4812,10.54,19.4634146341463
4813,14.665,20.0899193548387
4820,10.46,22.9333333333333
4830,1.84,29.2103448275862
4840,7.3,14.8175
4860,12.91,17.6156360771957
4865,8.125,22.2119047619048
4870,9.4,25.3276729559748
4880,13.4,20.2474109623642
4881,5.085,25.5222826086957
4890,5.84,13.4523076923077
4900,6.9,24.8216911764706
4910,9.85,15.2354679802956
4920,11.14,18.8048327137546
4930,13.3,20.7181659170415
4940,7.3,18.9836789297659
4950,13.5,20.6835655934647
4960,7.04,27.5461538461538
4970,11.505,18.5260204081633
4980,13.4,20.4991358617379
5000,10.425,21.4181818181818
5010,10.2,22.8524221453287
5011,13.3,19.4610069630423
5012,10.115,23.63625
5030,1.81,29.385
5040,13.22,24.4521531100478
5050,12.3,25.990977443609
5060,8.575,23.4941329179647
5070,10.8,20.5367738838214
5077,14.45,21.3838709677419
5080,15.5,20.5633663366337
5090,6.4,15.0179104477612
5100,10.7,17.5669235709698
5110,12.2,21.1247425802544
5120,11.12,25.5253333333333
5130,4.8,26.6952095808383
5135,1.41,27.65
5140,6.55,15.9089379600421
5150,7.68,13.7283018867925
5170,7.6,16.9549034175334
5180,10.27,15.5720720720721
5190,12.3,21.5199011532125
5195,7.905,15.5
5210,9.56999999999999,15.5611111111111
5220,7.015,15.0081339712919
5225,5.14,15.9666666666667
5270,0,9.8
5275,0,9.8
5280,7.6,13.0703703703704
5290,11.5,19.6243036424855
5300,15.51,21.3005454545455
5310,10.21,21.5367088607595
5330,8.5,15.7288086642599
5360,NA,NA
5380,5.4,18.6792270531401
5390,5.075,17.9037735849057
5400,9.8,18.4169379450661
5420,9.61500000000001,17.6950856627592
5450,5.71,17.539
5460,10.6,21.55159137577
5470,6.52,21.5845188284519
5480,5.9,16.6054644808743
5491,5.585,16.8122549019608
5500,6.5,25.6515151515152
5520,12.9,21.6972093023256
5540,10.97,14.6613766730402
