"stateroute","country","class","deltaCover"
17008,"US",7,-0.0218367393930006
17010,"US",5,0.175929742035021
17013,"US",7,-0.062874875910339
17014,"US",7,-0.0502755092102339
17015,"US",4,0.101249017207576
17016,"US",7,-0.254591862825533
17018,"US",7,-0.340009760773508
17019,"US",5,0.058206065309581
17020,"US",7,-0.160886207127098
17022,"US",5,0.143694324798638
17026,"US",5,0.0579091333644672
17027,"US",7,0.230015007298911
17028,"US",7,-0.251095517519574
17032,"US",5,0.250970382625111
17033,"US",5,0.105530257310583
17035,"US",7,-0.082776340118492
17036,"US",6,-0.110503822890553
17037,"US",7,-0.078941664792361
17038,"US",5,-0.077804827525386
17042,"US",7,-0.119738866396761
17043,"US",7,-0.064298089636621
17044,"US",7,-0.241392536269033
17045,"US",4,-0.160741491551636
17046,"US",5,0.30474139842827
17047,"US",5,0.489167632747454
17049,"US",5,0.133589423277119
17050,"US",5,0.0547312235605887
17051,"US",7,-0.356039811419591
17052,"US",7,0.0145219667469178
17053,"US",7,-0.039963768750109
17055,"US",7,-0.430269803617822
17056,"US",5,0.118690665752928
17057,"US",7,-0.291397427104343
17058,"US",7,-0.203925447420531
17125,"US",7,-0.592262810054476
17154,"US",7,-0.116546887930659
17202,"US",5,0.118850164503856
17205,"US",6,-0.091061317797305
17207,"US",7,-0.0716404546796907
17210,"US",7,-0.119390665046266
17212,"US",7,-0.03383342630948
17213,"US",7,-0.103809594788672
17214,"US",7,-0.1621942153149
17222,"US",5,0.0478209526997499
17225,"US",5,0.213199654873478
17228,"US",7,-0.379398724331052
17305,"US",6,-0.060888378750537
17307,"US",7,-0.102131891823216
17308,"US",4,0.116365974017566
17314,"US",7,-0.245625738863358
17315,"US",4,0.068970982421453
17319,"US",7,-0.221942432401684
17320,"US",7,-0.167709133472329
17321,"US",7,-0.33151317962862
17326,"US",7,-0.159130990354175
17358,"US",4,0.270281017216663
17361,"US",5,-0.063825317025587
17362,"US",7,-0.094933956150537
17375,"US",4,0.143030764842855
17422,"US",5,0.124293076081822
17423,"US",4,0.132263537002531
17900,"US",7,-0.269188741781958
17901,"US",7,0.110327959709873
17904,"US",4,-0.0595227460526609
18001,"US",4,-0.0614172667745779
18002,"US",2,0.046193914950737
18003,"US",6,-0.0639990880072957
18004,"US",6,-0.0448732814311747
18005,"US",6,-0.0715833837821347
18007,"US",6,-0.0556456762019073
18009,"US",6,-0.0708622064265858
18010,"US",2,0.027920144018164
18012,"US",6,-0.0827931071348739
18013,"US",2,0.051190081522282
18014,"US",6,-0.0501376094569951
18015,"US",2,0.052911839732727
18016,"US",6,-0.0613575538533854
18102,"US",2,0.0365856622114215
18116,"US",6,-0.0618580873147797
2001,"US",4,-0.165447099825241
2002,"US",4,-0.176985866525584
2004,"US",4,-0.160991470228112
2005,"US",4,-0.174195800267999
2008,"US",4,-0.169281835237461
2009,"US",4,-0.158064685651557
2010,"US",4,-0.149441331893616
2015,"US",4,-0.144974003641719
2016,"US",4,-0.210701886343451
2017,"US",4,-0.135202959613606
2019,"US",4,-0.181391722968353
2022,"US",8,0.090666417625863
2023,"US",4,-0.136598148506132
2025,"US",4,-0.192139118055195
2027,"US",4,-0.115181479270209
2028,"US",4,-0.113151591194251
2030,"US",4,-0.13223675639308
2031,"US",4,-0.099823925552578
2034,"US",4,-0.154636655649178
2035,"US",4,-0.191485779202337
2038,"US",4,-0.209536621571472
2039,"US",4,-0.236112738778859
2042,"US",4,-0.111773895193874
2043,"US",4,-0.175940285061613
2046,"US",4,-0.165455373102843
2047,"US",4,-0.170885548940422
2048,"US",6,-0.044250325586695
2049,"US",4,-0.134258725953231
2051,"US",4,-0.122470928131318
