"SPEC","COMMONNAME","SCINAME","SPEC6","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species"
"RHWO","Red-headed Woodpecker","Melanerpes erythrocephalus","MELERY",726,4060,"Pic à tête rouge","Melanerpes erythrocephalus","Piciformes","Picidae","Melanerpes","erythrocephalus"
"ACWO","Acorn Woodpecker","Melanerpes formicivorus","MELFOR",727,4070,"Pic glandivore","Melanerpes formicivorus","Piciformes","Picidae","Melanerpes","formicivorus"
"GIWO","Gila Woodpecker","Melanerpes uropygialis","MELURO",732,4110,"Pic des saguaros","Melanerpes uropygialis","Piciformes","Picidae","Melanerpes","uropygialis"
"GFWO","Golden-fronted Woodpecker","Melanerpes aurifrons","MELAUR",733,4100,"Pic à front doré","Melanerpes aurifrons","Piciformes","Picidae","Melanerpes","aurifrons"
"RBWO","Red-bellied Woodpecker","Melanerpes carolinus","MELCAR",734,4090,"Pic à ventre roux","Melanerpes carolinus","Piciformes","Picidae","Melanerpes","carolinus"
"WISA","Williamson's Sapsucker","Sphyrapicus thyroideus","SPHTHY",735,4040,"Pic de Williamson","Sphyrapicus thyroideus","Piciformes","Picidae","Sphyrapicus","thyroideus"
"YBSA","Yellow-bellied Sapsucker","Sphyrapicus varius","SPHVAR",736,4020,"Pic maculé","Sphyrapicus varius","Piciformes","Picidae","Sphyrapicus","varius"
"RNSA","Red-naped Sapsucker","Sphyrapicus nuchalis","SPHNUC",737,4021,"Pic à nuque rouge","Sphyrapicus nuchalis","Piciformes","Picidae","Sphyrapicus","nuchalis"
"RBSA","Red-breasted Sapsucker","Sphyrapicus ruber","SPHRUB",738,4030,"Pic à poitrine rouge","Sphyrapicus ruber","Piciformes","Picidae","Sphyrapicus","ruber"
"ATTW","American Three-toed Woodpecker","Picoides dorsalis","PICDOR",750,4010,"Pic à dos rayé","Picoides dorsalis","Piciformes","Picidae","Picoides","dorsalis"
"BBWO","Black-backed Woodpecker","Picoides arcticus","PICARC",751,4000,"Pic à dos noir","Picoides arcticus","Piciformes","Picidae","Picoides","arcticus"
"DOWO","Downy Woodpecker","Dryobates pubescens","DRYPUB",743,3940,"Pic mineur","Picoides pubescens","Piciformes","Picidae","Picoides","pubescens"
"NUWO","Nuttall's Woodpecker","Dryobates nuttallii","DRYNUT",742,3970,"Pic de Nuttall","Picoides nuttallii","Piciformes","Picidae","Picoides","nuttallii"
"LBWO","Ladder-backed Woodpecker","Dryobates scalaris","DRYSCA",741,3960,"Pic arlequin","Picoides scalaris","Piciformes","Picidae","Picoides","scalaris"
"RCWO","Red-cockaded Woodpecker","Dryobates borealis","DRYBOR",748,3950,"Pic à face blanche","Picoides borealis","Piciformes","Picidae","Picoides","borealis"
"HAWO","Hairy Woodpecker","Dryobates villosus","DRYVIL",745,3930,"Pic chevelu","Picoides villosus","Piciformes","Picidae","Picoides","villosus"
"WHWO","White-headed Woodpecker","Dryobates albolarvatus","DRYALB",749,3990,"Pic à tête blanche","Picoides albolarvatus","Piciformes","Picidae","Picoides","albolarvatus"
"ARWO","Arizona Woodpecker","Dryobates arizonae","DRYARI",746,3975,"Pic d'Arizona","Picoides arizonae","Piciformes","Picidae","Picoides","arizonae"
"GIFL","Gilded Flicker","Colaptes chrysoides","COLCHR",758,4140,"Pic chrysoïde","Colaptes chrysoides","Piciformes","Picidae","Colaptes","chrysoides"
"PIWO","Pileated Woodpecker","Dryocopus pileatus","DRYPIL",761,4050,"Grand Pic","Dryocopus pileatus","Piciformes","Picidae","Dryocopus","pileatus"
"MOPA","Monk Parakeet","Myiopsitta monachus","MYIMON",780,3824,"Conure veuve","Myiopsitta monachus","Psittaciformes","Psittacidae","Myiopsitta","monachus"
"NAPA","Nanday Parakeet","Aratinga nenday","ARANEN",783,51830,"Conure nanday","Aratinga nenday","Psittaciformes","Psittacidae","Aratinga","nenday"
"RCPA","Red-crowned Parrot","Amazona viridigenalis","AMAVIG",803,3826,"Amazone à joues vertes","Amazona viridigenalis","Psittaciformes","Psittacidae","Amazona","viridigenalis"
"RRPA","Rose-ringed Parakeet","Psittacula krameri","PSIKRA",810,3823,"Perruche à collier","Psittacula krameri","Psittaciformes","Psittaculidae","Psittacula","krameri"
"BUDG","Budgerigar","Melopsittacus undulatus","MELUND",812,3822,"Perruche ondulée","Melopsittacus undulatus","Psittaciformes","Psittaculidae","Melopsittacus","undulatus"
"NOBT","Northern Beardless-Tyrannulet","Camptostoma imberbe","CAMIMB",845,4720,"Tyranneau imberbe","Camptostoma imberbe","Passeriformes","Tyrannidae","Camptostoma","imberbe"
