"SPEC","COMMONNAME","SCINAME","SPEC6","species_id","aou","french_common_name","spanish_common_name","sporder","family","genus","species"
"OVEN","Ovenbird","Seiurus aurocapilla","SEIAUR",1251,6740,"Paruline couronnée","Seiurus aurocapilla","Passeriformes","Parulidae","Seiurus","aurocapilla"
"WEWA","Worm-eating Warbler","Helmitheros vermivorum","HELVER",1252,6390,"Paruline vermivore","Helmitheros vermivorum","Passeriformes","Parulidae","Helmitheros","vermivorum"
"LOWA","Louisiana Waterthrush","Parkesia motacilla","PARMOT",1253,6760,"Paruline hochequeue","Parkesia motacilla","Passeriformes","Parulidae","Parkesia","motacilla"
"NOWA","Northern Waterthrush","Parkesia noveboracensis","PARNOV",1254,6750,"Paruline des ruisseaux","Parkesia noveboracensis","Passeriformes","Parulidae","Parkesia","noveboracensis"
"GWWA","Golden-winged Warbler","Vermivora chrysoptera","VERCHR",1255,6420,"Paruline à ailes dorées","Vermivora chrysoptera","Passeriformes","Parulidae","Vermivora","chrysoptera"
"BWWA","Blue-winged Warbler","Vermivora cyanoptera","VERCYA",1256,6410,"Paruline à ailes bleues","Vermivora cyanoptera","Passeriformes","Parulidae","Vermivora","cyanoptera"
"BAWW","Black-and-white Warbler","Mniotilta varia","MNIVAR",1259,6360,"Paruline noir et blanc","Mniotilta varia","Passeriformes","Parulidae","Mniotilta","varia"
"PROW","Prothonotary Warbler","Protonotaria citrea","PROCIT",1260,6370,"Paruline orangée","Protonotaria citrea","Passeriformes","Parulidae","Protonotaria","citrea"
"SWWA","Swainson's Warbler","Limnothlypis swainsonii","LIMSWA",1261,6380,"Paruline de Swainson","Limnothlypis swainsonii","Passeriformes","Parulidae","Limnothlypis","swainsonii"
"TEWA","Tennessee Warbler","Oreothlypis peregrina","OREPER",1263,6470,"Paruline obscure","Oreothlypis peregrina","Passeriformes","Parulidae","Oreothlypis","peregrina"
"OCWA","Orange-crowned Warbler","Oreothlypis celata","ORECEL",1264,6460,"Paruline verdâtre","Oreothlypis celata","Passeriformes","Parulidae","Oreothlypis","celata"
"LUWA","Lucy's Warbler","Oreothlypis luciae","ORELUC",1266,6430,"Paruline de Lucy","Oreothlypis luciae","Passeriformes","Parulidae","Oreothlypis","luciae"
"NAWA","Nashville Warbler","Oreothlypis ruficapilla","ORERUF",1267,6450,"Paruline à joues grises","Oreothlypis ruficapilla","Passeriformes","Parulidae","Oreothlypis","ruficapilla"
"VIWA","Virginia's Warbler","Oreothlypis virginiae","OREVIR",1268,6440,"Paruline de Virginia","Oreothlypis virginiae","Passeriformes","Parulidae","Oreothlypis","virginiae"
"CONW","Connecticut Warbler","Oporornis agilis","OPOAGI",1269,6780,"Paruline à gorge grise","Oporornis agilis","Passeriformes","Parulidae","Oporornis","agilis"
"MGWA","MacGillivray's Warbler","Geothlypis tolmiei","GEOTOL",1271,6800,"Paruline des buissons","Geothlypis tolmiei","Passeriformes","Parulidae","Geothlypis","tolmiei"
"MOWA","Mourning Warbler","Geothlypis philadelphia","GEOPHI",1272,6790,"Paruline triste","Geothlypis philadelphia","Passeriformes","Parulidae","Geothlypis","philadelphia"
"KEWA","Kentucky Warbler","Geothlypis formosa","GEOFOR",1273,6770,"Paruline du Kentucky","Geothlypis formosa","Passeriformes","Parulidae","Geothlypis","formosa"
"COYE","Common Yellowthroat","Geothlypis trichas","GEOTRI",1277,6810,"Paruline masquée","Geothlypis trichas","Passeriformes","Parulidae","Geothlypis","trichas"
"HOWA","Hooded Warbler","Setophaga citrina","SETCIT",1279,6840,"Paruline à capuchon","Setophaga citrina","Passeriformes","Parulidae","Setophaga","citrina"
"AMRE","American Redstart","Setophaga ruticilla","SETRUT",1280,6870,"Paruline flamboyante","Setophaga ruticilla","Passeriformes","Parulidae","Setophaga","ruticilla"
"KIWA","Kirtland's Warbler","Setophaga kirtlandii","SETKIR",1281,6700,"Paruline de Kirtland","Setophaga kirtlandii","Passeriformes","Parulidae","Setophaga","kirtlandii"
"CMWA","Cape May Warbler","Setophaga tigrina","SETTIG",1282,6500,"Paruline tigrée","Setophaga tigrina","Passeriformes","Parulidae","Setophaga","tigrina"
"CERW","Cerulean Warbler","Setophaga cerulea","SETCER",1283,6580,"Paruline azurée","Setophaga cerulea","Passeriformes","Parulidae","Setophaga","cerulea"
"NOPA","Northern Parula","Setophaga americana","SETAME",1284,6480,"Paruline à collier","Setophaga americana","Passeriformes","Parulidae","Setophaga","americana"
"TRPA","Tropical Parula","Setophaga pitiayumi","SETPIM",1285,6490,"Paruline à joues noires","Setophaga pitiayumi","Passeriformes","Parulidae","Setophaga","pitiayumi"
"MAWA","Magnolia Warbler","Setophaga magnolia","SETMAG",1286,6570,"Paruline à tête cendrée","Setophaga magnolia","Passeriformes","Parulidae","Setophaga","magnolia"
"BBWA","Bay-breasted Warbler","Setophaga castanea","SETCAS",1287,6600,"Paruline à poitrine baie","Setophaga castanea","Passeriformes","Parulidae","Setophaga","castanea"
"BLBW","Blackburnian Warbler","Setophaga fusca","SETFUS",1288,6620,"Paruline à gorge orangée","Setophaga fusca","Passeriformes","Parulidae","Setophaga","fusca"
"YEWA","Yellow Warbler","Setophaga petechia","SETPET",1289,6520,"Paruline jaune","Setophaga petechia","Passeriformes","Parulidae","Setophaga","petechia"
"CSWA","Chestnut-sided Warbler","Setophaga pensylvanica","SETPEN",1290,6590,"Paruline à flancs marron","Setophaga pensylvanica","Passeriformes","Parulidae","Setophaga","pensylvanica"
"BLPW","Blackpoll Warbler","Setophaga striata","SETSTR",1291,6610,"Paruline rayée","Setophaga striata","Passeriformes","Parulidae","Setophaga","striata"
"BTBW","Black-throated Blue Warbler","Setophaga caerulescens","SETCAE",1292,6540,"Paruline bleue","Setophaga caerulescens","Passeriformes","Parulidae","Setophaga","caerulescens"
"PAWA","Palm Warbler","Setophaga palmarum","SETPAL",1293,6720,"Paruline à couronne rousse","Setophaga palmarum","Passeriformes","Parulidae","Setophaga","palmarum"
"PIWA","Pine Warbler","Setophaga pinus","SETPIN",1294,6710,"Paruline des pins","Setophaga pinus","Passeriformes","Parulidae","Setophaga","pinus"
"YTWA","Yellow-throated Warbler","Setophaga dominica","SETDOM",1298,6630,"Paruline à gorge jaune","Setophaga dominica","Passeriformes","Parulidae","Setophaga","dominica"
"PRAW","Prairie Warbler","Setophaga discolor","SETDIS",1299,6730,"Paruline des prés","Setophaga discolor","Passeriformes","Parulidae","Setophaga","discolor"
"GRWA","Grace's Warbler","Setophaga graciae","SETGRA",1300,6640,"Paruline de Grace","Setophaga graciae","Passeriformes","Parulidae","Setophaga","graciae"
"BTYW","Black-throated Gray Warbler","Setophaga nigrescens","SETNIG",1301,6650,"Paruline grise","Setophaga nigrescens","Passeriformes","Parulidae","Setophaga","nigrescens"
"TOWA","Townsend's Warbler","Setophaga townsendi","SETTOW",1302,6680,"Paruline de Townsend","Setophaga townsendi","Passeriformes","Parulidae","Setophaga","townsendi"
"HEWA","Hermit Warbler","Setophaga occidentalis","SETOCC",1303,6690,"Paruline à tête jaune","Setophaga occidentalis","Passeriformes","Parulidae","Setophaga","occidentalis"
"GCWA","Golden-cheeked Warbler","Setophaga chrysoparia","SETCHR",1306,6660,"Paruline à dos noir","Setophaga chrysoparia","Passeriformes","Parulidae","Setophaga","chrysoparia"
"BTNW","Black-throated Green Warbler","Setophaga virens","SETVIR",1307,6670,"Paruline à gorge noire","Setophaga virens","Passeriformes","Parulidae","Setophaga","virens"
"CAWA","Canada Warbler","Cardellina canadensis","CADCAN",1312,6860,"Paruline du Canada","Cardellina canadensis","Passeriformes","Parulidae","Cardellina","canadensis"
"WIWA","Wilson's Warbler","Cardellina pusilla","CARPUS",1313,6850,"Paruline à calotte noire","Cardellina pusilla","Passeriformes","Parulidae","Cardellina","pusilla"
"RFWA","Red-faced Warbler","Cardellina rubrifrons","CARRUF",1314,6900,"Paruline à face rouge","Cardellina rubrifrons","Passeriformes","Parulidae","Cardellina","rubrifrons"
"PARE","Painted Redstart","Myioborus pictus","MYIPIC",1317,6880,"Paruline à ailes blanches","Myioborus pictus","Passeriformes","Parulidae","Myioborus","pictus"
"HETA","Hepatic Tanager","Piranga flava","PIRFLA",1432,6090,"Piranga orangé","Piranga flava","Passeriformes","Cardinalidae","Piranga","flava"
"SUTA","Summer Tanager","Piranga rubra","PIRRUB",1433,6100,"Piranga vermillon","Piranga rubra","Passeriformes","Cardinalidae","Piranga","rubra"
"SCTA","Scarlet Tanager","Piranga olivacea","PIROLI",1434,6080,"Piranga écarlate","Piranga olivacea","Passeriformes","Cardinalidae","Piranga","olivacea"
"WETA","Western Tanager","Piranga ludoviciana","PIRLUD",1435,6070,"Piranga à tête rouge","Piranga ludoviciana","Passeriformes","Cardinalidae","Piranga","ludoviciana"
"NOCA","Northern Cardinal","Cardinalis cardinalis","CARCAI",1443,5930,"Cardinal rouge","Cardinalis cardinalis","Passeriformes","Cardinalidae","Cardinalis","cardinalis"
"PYRR","Pyrrhuloxia","Cardinalis sinuatus","CARSIN",1444,5940,"Cardinal pyrrhuloxia","Cardinalis sinuatus","Passeriformes","Cardinalidae","Cardinalis","sinuatus"
"RBGR","Rose-breasted Grosbeak","Pheucticus ludovicianus","PHELUD",1447,5950,"Cardinal à poitrine rose","Pheucticus ludovicianus","Passeriformes","Cardinalidae","Pheucticus","ludovicianus"
"BHGR","Black-headed Grosbeak","Pheucticus melanocephalus","PHEMEL",1448,5960,"Cardinal à tête noire","Pheucticus melanocephalus","Passeriformes","Cardinalidae","Pheucticus","melanocephalus"
"BLGR","Blue Grosbeak","Passerina caerulea","PASCAE",1454,5970,"Guiraca bleu","Passerina caerulea","Passeriformes","Cardinalidae","Passerina","caerulea"
"LAZB","Lazuli Bunting","Passerina amoena","PASAMO",1455,5990,"Passerin azuré","Passerina amoena","Passeriformes","Cardinalidae","Passerina","amoena"
"INBU","Indigo Bunting","Passerina cyanea","PASCYA",1456,5980,"Passerin indigo","Passerina cyanea","Passeriformes","Cardinalidae","Passerina","cyanea"
"VABU","Varied Bunting","Passerina versicolor","PASVER",1460,6000,"Passerin varié","Passerina versicolor","Passeriformes","Cardinalidae","Passerina","versicolor"
"PABU","Painted Bunting","Passerina ciris","PASCIR",1461,6010,"Passerin nonpareil","Passerina ciris","Passeriformes","Cardinalidae","Passerina","ciris"
"DICK","Dickcissel","Spiza americana","SPIAME",1462,6040,"Dickcissel d'Amérique","Spiza americana","Passeriformes","Cardinalidae","Spiza","americana"
