"stateroute","stops","scale","dir_all","dir_core"
2215,"stops1_25",0.5,0.392267271128931,0.403060350637283
2215,"stops26_50",0.5,0.338268048787813,0.344821397624152
2216,"stops1_25",0.5,0.355711407652211,0.389286715119638
2216,"stops26_50",0.5,0.377245264157226,0.413952953879439
2217,"stops1_25",0.5,0.36707472010786,0.367023121481544
2217,"stops26_50",0.5,0.43561411932147,0.456620769773322
2218,"stops1_25",0.5,0.398870949282437,0.377736078779886
2218,"stops26_50",0.5,0.418185930676822,0.419477169061029
3002,"stops1_25",0.5,0.387282917971332,0.417304459802758
3002,"stops26_50",0.5,0.364032066699446,0.424253953811366
3003,"stops1_25",0.5,0.343757342710306,0.379614247850972
3003,"stops26_50",0.5,0.391565906416848,0.387561557035596
3004,"stops1_25",0.5,0.375464351218311,0.331006155022369
3004,"stops26_50",0.5,0.407381292821538,0.408639080258045
3007,"stops1_25",0.5,0.415034011427014,0.411790458953419
3007,"stops26_50",0.5,0.42307381324073,0.425757775024025
3008,"stops1_25",0.5,0.415080937821299,0.37168609663414
3008,"stops26_50",0.5,0.411200035699819,0.321516829264078
3010,"stops1_25",0.5,0.323720882924682,0.344668553805177
3010,"stops26_50",0.5,0.351437568746125,0.410428349328025
3011,"stops1_25",0.5,0.373199956498693,0.292853422003117
3011,"stops26_50",0.5,0.374377454608461,0.338662218277319
3012,"stops1_25",0.5,0.441691348313346,0.467291679034662
3012,"stops26_50",0.5,0.370121318351566,0.471309779184067
3013,"stops1_25",0.5,0.346232012533948,0.340743518372135
3013,"stops26_50",0.5,0.365618266546541,0.36163145138174
3015,"stops1_25",0.5,0.442187642391988,0.412712277011959
3015,"stops26_50",0.5,0.39765476522179,0.47533661325157
3021,"stops1_25",0.5,0.403216029597914,0.371049169079135
3021,"stops26_50",0.5,0.373539882891685,0.388530836557508
3023,"stops1_25",0.5,0.339308093366118,0.331964107951094
3023,"stops26_50",0.5,0.342588519669951,0.352586356803762
3024,"stops1_25",0.5,0.352239333645762,0.350250727198587
3024,"stops26_50",0.5,0.328940892477076,0.35177618849273
3030,"stops1_25",0.5,0.362242089641856,0.408190470818916
3030,"stops26_50",0.5,0.440645772255737,0.40480797441672
3041,"stops1_25",0.5,0.374698301342673,0.378092296303451
3041,"stops26_50",0.5,0.367238489856968,0.369356095932003
3051,"stops1_25",0.5,0.391036808567097,0.363286409536745
3051,"stops26_50",0.5,0.444760789377759,0.483338296881015
3052,"stops1_25",0.5,0.39311698029733,0.395116932195223
3052,"stops26_50",0.5,0.356132987836167,0.468568439525274
3054,"stops1_25",0.5,0.387816178317792,0.364739473399479
3054,"stops26_50",0.5,0.357256619845164,0.398720057368465
3115,"stops1_25",0.5,0.451695380962237,0.431647442396866
3115,"stops26_50",0.5,0.407192368374475,0.389356463579083
3117,"stops1_25",0.5,0.399278308517687,0.442342859796959
3117,"stops26_50",0.5,0.376255389931237,0.413571908418302
3118,"stops1_25",0.5,0.368668436270185,0.423644890503007
3118,"stops26_50",0.5,0.329614458159802,0.390778753381877
3119,"stops1_25",0.5,0.377533356638099,0.385758699529214
3119,"stops26_50",0.5,0.370914784486645,0.425309794834687
3123,"stops1_25",0.5,0.395640132565081,0.422308812789617
3123,"stops26_50",0.5,0.467727176215545,0.435986812522215
3131,"stops1_25",0.5,0.382967956262647,0.375257555049451
3131,"stops26_50",0.5,0.339483314011017,0.343726170984893
3142,"stops1_25",0.5,0.402308071477401,0.344202664379131
3142,"stops26_50",0.5,0.321821346963693,0.351809554670158
3180,"stops1_25",0.5,0.470796329066152,0.47670654734876
3180,"stops26_50",0.5,0.46444219573881,0.469437460092413
3192,"stops1_25",0.5,0.413428421523618,0.407478108837029
3192,"stops26_50",0.5,0.459873917185381,0.451638223839664
3212,"stops1_25",0.5,0.34056085592133,0.359531518798069
3212,"stops26_50",0.5,0.371339939956599,0.314211090420227
3216,"stops1_25",0.5,0.343335819261273,0.360620655589213
3216,"stops26_50",0.5,0.358735299683383,0.334911424574275
3224,"stops1_25",0.5,0.425118424350689,0.410055957481141
3224,"stops26_50",0.5,0.368299793053147,0.384682482689183
3231,"stops1_25",0.5,0.374554054822347,0.456883030217289
3231,"stops26_50",0.5,0.36484443082025,0.394290369908671
3284,"stops1_25",0.5,0.378559022816123,0.364012003716251
3284,"stops26_50",0.5,0.387600429326464,0.35923891319131
3313,"stops1_25",0.5,0.354985941666197,0.364772122946443
3313,"stops26_50",0.5,0.334594602231072,0.354361855675949
3318,"stops1_25",0.5,0.333023833500514,0.344981073497705
3318,"stops26_50",0.5,0.343946018471964,0.390239964612426
3319,"stops1_25",0.5,0.39846383593109,0.423946933314131
3319,"stops26_50",0.5,0.452193270392856,0.478265622523051
3321,"stops1_25",0.5,0.304631008157039,0.334740948082592
3321,"stops26_50",0.5,0.328849412373933,0.357749128268613
3372,"stops1_25",0.5,0.418783495710691,0.42772259954514
3372,"stops26_50",0.5,0.395110031648978,0.421716431170462
3401,"stops1_25",0.5,0.392792020436848,0.396231332785053
3401,"stops26_50",0.5,0.35272242491762,0.41526534035735
3402,"stops1_25",0.5,0.351335818895353,0.493064216183033
3402,"stops26_50",0.5,0.313870320684478,0.47339692795007
3403,"stops1_25",0.5,0.391394752863111,0.373619171358242
3403,"stops26_50",0.5,0.417837937503064,0.413133125053512
3404,"stops1_25",0.5,0.392236354712281,0.383516533535572
3404,"stops26_50",0.5,0.386753876484248,0.363320459915049
3405,"stops1_25",0.5,0.349472734935923,0.348692212592005
3405,"stops26_50",0.5,0.380721557464906,0.347202626404278
3406,"stops1_25",0.5,0.373717746125346,0.382943293450208
3406,"stops26_50",0.5,0.335332605278699,0.316128669238249
3408,"stops1_25",0.5,0.383602392276035,0.482147142774491
3408,"stops26_50",0.5,0.421503176972341,0.447717621771415
3409,"stops1_25",0.5,0.378373621741727,0.375999790403363
3409,"stops26_50",0.5,0.333539585151392,0.386302110555496
3410,"stops1_25",0.5,0.383257344559985,0.322484659783178
3410,"stops26_50",0.5,0.343761673411563,0.303501105955941
3411,"stops1_25",0.5,0.377764788000961,0.299572857148427
3411,"stops26_50",0.5,0.425256864858282,0.367248046860869
3412,"stops1_25",0.5,0.339517455147258,0.36958263541755
3412,"stops26_50",0.5,0.293039348299878,0.308161581219464
3418,"stops1_25",0.5,0.427525187616519,0.40854300309531
3418,"stops26_50",0.5,0.388801593978108,0.388883715723342
3419,"stops1_25",0.5,0.360728112786619,0.417231862137684
3419,"stops26_50",0.5,0.394876359369433,0.439984706934168
3420,"stops1_25",0.5,0.393025632405995,0.3984732107971
3420,"stops26_50",0.5,0.365788274550678,0.367581979245106
3422,"stops1_25",0.5,0.449793870133687,0.307930115297844
3422,"stops26_50",0.5,0.420289104783262,0.346959607079136
3423,"stops1_25",0.5,0.387269354338947,0.338098373076874
3423,"stops26_50",0.5,0.411703283642898,0.40190032927206
3424,"stops1_25",0.5,0.282622547951208,0.273751890068055
3424,"stops26_50",0.5,0.310991067949357,0.290868111594747
3425,"stops1_25",0.5,0.337996697338575,0.311636256046014
3425,"stops26_50",0.5,0.348136797428137,0.356123191524304
3427,"stops1_25",0.5,0.391235091998131,0.314079665782308
3427,"stops26_50",0.5,0.40082026761337,0.369423202523399
3428,"stops1_25",0.5,0.366575752361201,0.36394634932643
3428,"stops26_50",0.5,0.352224582168706,0.339130414819533
3429,"stops1_25",0.5,0.357840782852335,0.371278001206578
3429,"stops26_50",0.5,0.356649576317969,0.380523563340693
