"scale","focal_rte","max_lc_class","max_lc","trend_tmax","trend_tmin","dir_all","dir_core"
3,44010,"Forest",-0.0831468494803888,0.0275437096484691,0.0459455098062934,0.426460506504804,0.447240594454455
3,44012,NA,NA,NA,NA,0.459192297919489,0.470338538558301
3,44013,NA,NA,NA,NA,0.459192297919489,0.470338538558301
3,44019,"Forest",-0.190404282071518,0.00900965396292459,0.0689508676028274,0.473398679469106,0.464823307610007
3,44026,"Forest",-0.190404282071518,0.00900965396292459,0.0689508676028274,0.455903220403913,0.452493167879282
3,44031,"Forest",-0.1250928147434,0.0247935392149695,0.0569987946844109,0.405628746378813,0.436324755813856
3,44032,"Forest",-0.1250928147434,0.0247935392149695,0.0569987946844109,0.405628746378813,0.436324755813856
3,44033,"Forest",-0.190404282071518,0.00900965396292459,0.0689508676028274,0.473398679469106,0.464823307610007
3,44120,"Forest",-0.190404282071518,0.00900965396292459,0.0689508676028274,0.473398679469106,0.464823307610007
3,45002,"Urban",0.00370933320950671,-0.0337619326670357,0.0286323856123602,0.416260278365278,0.436611997649931
3,45005,"Wetlands",-0.00167847025495751,-0.0457898554444959,-0.00707495876402479,0.391997799433078,0.400301128051031
3,45018,"Grasslands",-0.0053041869235153,-0.0221485140901885,-0.0119794916844,0.391841262874367,0.421419643202028
3,45021,"Grasslands",0.0187881046711216,0.00784529792064861,0.0206498101446245,0.313140379705322,0.312887018002208
3,45101,"Wetlands",0.079810365241222,0.0135207179516958,0.0277114447886883,0.307804733950568,0.298071837540335
3,45105,"Agricultural",0.00346692008468708,-0.0185148368622751,-0.026047925088934,0.370410993467002,0.388507836498274
3,45107,"Grasslands",0.0224247705747884,0.00459046047331814,0.00156242991900642,0.318004225615222,0.319647660450899
3,45113,"Wetlands",-0.00750740853924445,-0.0414469045418435,0.0294656211939282,0.354946526394251,0.358470272662747
3,45116,"Wetlands",-0.00167847025495751,-0.0457898554444959,-0.00707495876402479,0.391997799433078,0.400301128051031
3,46001,"Urban",0.0550222124575666,0.0283394949052255,0.0439089716426255,0.41386915449357,0.420876735278865
3,46003,"Urban",0.0550222124575666,0.0283394949052255,0.0439089716426255,0.41386915449357,0.420876735278865
3,46004,"Forest",-0.0491280421465106,0.0286414006735355,0.0459001300717475,0.457974848197007,0.457648513129298
3,46005,"Forest",-0.0491280421465106,0.0286414006735355,0.0459001300717475,0.457974848197007,0.457648513129298
3,46006,"Agricultural",-0.157318349333455,0.0310140178233401,0.0716097458643194,0.418063922268471,0.427062239813816
3,46007,"Urban",0.0640503416158197,0.0233924295726343,0.034568785103374,0.406130622494467,0.402978058763515
3,46008,"Urban",0.0640503416158197,0.0233924295726343,0.034568785103374,0.406130622494467,0.402978058763515
3,46011,NA,NA,NA,NA,0.448148748631433,0.465090985272477
3,46013,"Agricultural",-0.185738843340445,-0.00249780543033752,0.0771652540659497,0.419147095523041,0.429026921095987
3,46014,"Agricultural",-0.185738843340445,-0.00249780543033752,0.0771652540659497,0.419147095523041,0.429026921095987
3,46015,"Agricultural",-0.185738843340445,-0.00249780543033752,0.0771652540659497,0.419147095523041,0.429026921095987
3,46016,"Agricultural",-0.168692582237668,0.0096439799378381,0.0656119187390765,0.448973183269971,0.450311649484555
3,46017,"Agricultural",-0.168692582237668,0.0096439799378381,0.0656119187390765,0.448973183269971,0.450311649484555
3,46027,"Forest",-0.057310039088569,0.0261938377993924,0.086955099777187,0.414547252357353,0.418226585013901
3,46029,"Forest",-0.0642701705664129,0.0185152910371728,0.0876029026193258,0.481630829895597,0.476515002638023
3,46030,"Forest",-0.0642701705664129,0.0185152910371728,0.0876029026193258,0.481630829895597,0.476515002638023
3,46031,"Forest",-0.0642701705664129,0.0185152910371728,0.0876029026193258,0.481630829895597,0.476515002638023
3,46032,"Urban",0.112094300439161,-0.00146509006326732,0.0599956027117917,0.480771505162003,0.482393055017221
3,46033,"Urban",0.116370741095806,0.00264131701067056,0.0774822785707523,0.483207800746474,0.482273748597179
3,46035,"Urban",0.116370741095806,0.00264131701067056,0.0774822785707523,0.483207800746474,0.482273748597179
3,46036,"Wetlands",0.0616301812559356,-0.00843561633748748,0.0921302582162714,0.521248001481893,0.50761248838463
3,46037,"Forest",-0.0790728939481556,-0.00215973071155658,0.0935941430132514,0.538743979167735,0.513613758802142
3,46038,"Forest",-0.0993239619349655,0.0273933571113974,0.0941805535032272,0.484349753601341,0.491084019309523
3,46039,"Forest",-0.0993239619349655,0.0273933571113974,0.0941805535032272,0.484349753601341,0.491084019309523
3,46041,"Forest",-0.119458955303701,0.0199784524088618,0.0818358699121987,0.435342499620869,0.454138057688587
3,46042,"Forest",-0.119458955303701,0.0199784524088618,0.0818358699121987,0.435342499620869,0.454138057688587
3,46043,"Forest",-0.119458955303701,0.0199784524088618,0.0818358699121987,0.435342499620869,0.454138057688587
3,46044,"Forest",-0.113544499680141,0.0306399350176225,0.089397653925856,0.49872521991336,0.478895534462426
3,46046,"Forest",-0.121233090652306,0.0289070350483046,0.0844503357134184,0.47016925522319,0.467551659489908
3,46047,"Forest",-0.213435225990174,0.0359765795008495,0.0792080552463236,0.483504201845251,0.49297267618642
3,46048,"Forest",-0.213435225990174,0.0359765795008495,0.0792080552463236,0.483504201845251,0.49297267618642
3,46102,"Urban",0.0550222124575666,0.0283394949052255,0.0439089716426255,0.41386915449357,0.420876735278865
3,46110,NA,NA,NA,NA,0.448148748631433,0.465090985272477
3,46112,"Agricultural",-0.195161911871275,-0.012072532065195,0.0859906844285376,0.454294236458629,0.470977012735494
3,46123,"Agricultural",-0.104095673321807,-0.00750900943767938,0.0974725367982175,0.490241880919336,0.477283180879329
3,46126,NA,NA,NA,NA,0.46096565927967,0.486039005771216
3,47001,"Forest",-0.0855440140625238,0.0120451661166296,0.0675937234164771,0.516320212308578,0.508045122537782
3,47009,"Forest",-0.0522168040957292,0.0221590886052907,0.0786950510518413,0.463086894765074,0.468228077317066
3,47014,"Agricultural",-0.0488516589553901,0.0228100640618107,0.0802952197990214,0.440660584021963,0.45279453835744
3,47017,"Forest",-0.0475979972690032,0.0226182565614281,0.0788010562041847,0.472112114973251,0.466159938492445
3,47018,"Forest",-0.0220724458375159,0.0288460956702969,0.0848824023337882,0.411882690962566,0.428673756698122
