"aou","propFor","min_for","max_for","patchArea","std_patch","for_range"
4770,0.399831385101225,0.0198694837553962,0.833243974592682,605.871852740383,1776.84369045607,0.813374490837286
4780,0.563055448416208,0.0754415012841651,0.883463023265606,1124.13345067367,1429.0617629081,0.808021521981441
4790,0.0588941535353738,0.0488903044074762,0.0758562307744348,32.8123775084144,7.25357491720017,0.0269659263669586
4810,3.52272549357298e-05,3.52272549357298e-05,3.52272549357298e-05,9,NA,0
4812,0.18696700180462,0.0715543762887666,0.347277894966464,107.693015993663,42.5205158499773,0.275723518677697
4813,0.367774661102996,0.0542455489514406,0.828888639349457,704.724586388556,932.521608351906,0.774643090398016
4820,0.122998304936508,0.122998304936508,0.122998304936508,208.713780918728,NA,0
4830,0.0123444394241121,0.0123444394241121,0.0123444394241121,19.2434782608696,NA,0
4840,0.651614292291425,0.328042608731452,0.941607005994524,7245.99313974494,14899.0211567466,0.613564397263072
4860,0.491792494730783,0.00132716118047412,0.893030708515293,1826.89654713834,5675.34886064168,0.891703547334819
4865,0.0158992273525222,0.000184476842302907,0.0500820326205854,36.9380512233005,48.2366079883725,0.0498975557782825
4870,0.073360774907717,0.000137564411520182,0.32264259994107,102.632665501054,182.025138002925,0.32250503552955
4880,0.386739362430841,0.00595476443839274,0.836267751898856,753.071103577269,3352.4222103603,0.830312987460464
4881,0.274886069843231,0.0807229446060259,0.422118336549138,127.067481717635,77.4072321944728,0.341395391943112
4882,0.457496263984814,0.457496263984814,0.457496263984814,232.113729508197,NA,0
4890,0.769364263444841,0.668660980272061,0.870067546617622,2407.18799734748,1750.16477693257,0.20140656634556
4900,0.330912059760038,0.0489255951045912,0.668343230556444,176.295394713623,222.081030638243,0.619417635451853
4910,0.41299902815087,0.00425942773748895,0.853746006943159,1429.50209348078,3245.03999350862,0.849486579205671
4920,0.223802257407541,0.0267786482475171,0.644795676648185,459.4070424085,810.328768395704,0.618017028400668
4930,0.367376383155238,0.00293679197770279,0.836572734301991,619.165574967714,1785.20405133932,0.833635942324288
4940,0.377599132812784,0.0064082912913537,0.831676174504527,725.871162802808,2040.39482209104,0.825267883213173
4950,0.361525241584908,0.00200565135810709,0.827658664749581,524.988013176054,1368.34269422049,0.825653013391474
4960,0.0193184329595566,0.012514370233702,0.0298147754930928,27.299325618683,8.59308781543172,0.0173004052593908
