"aou","english_common_name","mean_occ_trend","sd_occ_trend","routes"
6100,"Summer Tanager",0.00354628204682834,1.848099059738,268
6110,"Purple Martin",-0.229914677120065,2.11013930075871,424
6120,"Cliff Swallow",0.351273260598358,1.65513008462105,438
6130,"Barn Swallow",-0.234614561115307,1.26602164129189,1136
6140,"Tree Swallow",-0.00529820976314301,1.42409251583206,626
6150,"Violet-green Swallow",-0.124461804265861,1.24949677199383,86
6160,"Bank Swallow",-0.295108023598382,1.57494081316251,124
6170,"Northern Rough-winged Swallow",0.0202984971301189,1.08407988522341,468
6190,"Cedar Waxwing",0.0795731540961124,1.54447501719709,718
6220,"Loggerhead Shrike",-0.111548492053616,0.84909141004383,170
6240,"Red-eyed Vireo",0.146526073191674,1.27528215805198,840
6270,"Warbling Vireo",0.00723281464308206,1.28817083039446,630
